rank,cca3,country,continent,growth_rate,world_percentage
1,IND,India,Asia,0.81%,17.85%
2,CHN,China,Asia,-0.02%,17.81%
3,USA,United States,North America,0.50%,4.25%
4,IDN,Indonesia,Asia,0.74%,3.47%
5,PAK,Pakistan,Asia,1.98%,3.00%
6,NGA,Nigeria,Africa,2.41%,2.80%
7,BRA,Brazil,South America,0.52%,2.70%
8,BGD,Bangladesh,Asia,1.03%,2.16%
9,RUS,Russia,Europe,-0.19%,1.80%
10,MEX,Mexico,North America,0.75%,1.60%
11,ETH,Ethiopia,Africa,2.55%,1.58%
12,JPN,Japan,Asia,-0.53%,1.54%
13,PHL,Philippines,Asia,1.54%,1.47%
14,EGY,Egypt,Africa,1.56%,1.41%
15,COD,DR Congo,Africa,3.29%,1.28%
16,VNM,Vietnam,Asia,0.68%,1.23%
17,IRN,Iran,Asia,0.70%,1.11%
18,TUR,Turkey,Asia,0.56%,1.07%
19,DEU,Germany,Europe,-0.09%,1.04%
20,THA,Thailand,Asia,0.15%,0.90%
21,GBR,United Kingdom,Europe,0.34%,0.85%
22,TZA,Tanzania,Africa,2.96%,0.84%
23,FRA,France,Europe,0.20%,0.81%
24,ZAF,South Africa,Africa,0.87%,0.75%
25,ITA,Italy,Europe,-0.28%,0.74%
26,KEN,Kenya,Africa,1.99%,0.69%
27,MMR,Myanmar,Asia,0.74%,0.68%
28,COL,Colombia,South America,0.41%,0.65%
29,KOR,South Korea,Asia,-0.06%,0.65%
30,UGA,Uganda,Africa,2.82%,0.61%
31,SDN,Sudan,Africa,2.63%,0.60%
32,ESP,Spain,Europe,-0.08%,0.59%
33,ARG,Argentina,South America,0.58%,0.57%
34,DZA,Algeria,Africa,1.57%,0.57%
35,IRQ,Iraq,Asia,2.27%,0.57%
36,AFG,Afghanistan,Asia,2.70%,0.53%
37,POL,Poland,Europe,2.93%,0.51%
38,CAN,Canada,North America,0.85%,0.48%
39,MAR,Morocco,Africa,1.02%,0.47%
40,SAU,Saudi Arabia,Asia,1.48%,0.46%
41,UKR,Ukraine,Europe,-7.45%,0.46%
42,AGO,Angola,Africa,3.08%,0.46%
43,UZB,Uzbekistan,Asia,1.55%,0.44%
44,YEM,Yemen,Asia,2.24%,0.43%
45,PER,Peru,South America,0.89%,0.43%
46,MYS,Malaysia,Asia,1.09%,0.43%
47,GHA,Ghana,Africa,1.93%,0.43%
48,MOZ,Mozambique,Africa,2.81%,0.42%
49,NPL,Nepal,Asia,1.14%,0.39%
50,MDG,Madagascar,Africa,2.41%,0.38%
51,CIV,Ivory Coast,Africa,2.53%,0.36%
52,VEN,Venezuela,South America,1.90%,0.36%
53,CMR,Cameroon,Africa,2.63%,0.36%
54,NER,Niger,Africa,3.80%,0.34%
55,AUS,Australia,Oceania,1.00%,0.33%
56,PRK,North Korea,Asia,0.35%,0.33%
57,TWN,Taiwan,Asia,0.13%,0.30%
58,MLI,Mali,Africa,3.10%,0.29%
59,BFA,Burkina Faso,Africa,2.55%,0.29%
60,SYR,Syria,Asia,4.98%,0.29%
